epoch,step,min,max,mean,std
1,10000,-0.10281287133693695,0.09112972021102905,-0.0030661262571811676,0.03258310258388519
2,20000,-0.13920190930366516,0.13134415447711945,-0.002623938722535968,0.04932916909456253
3,30000,-0.1076279729604721,0.11568205058574677,0.003324596444144845,0.046675316989421844
4,40000,-0.09713076055049896,0.08255908638238907,-0.0005642928299494088,0.028726955875754356
5,50000,-0.0695471316576004,0.06616060435771942,0.003291215980425477,0.025399593636393547
6,60000,-0.0898272916674614,0.08638443797826767,-0.003245536470785737,0.029505819082260132
7,70000,-0.08343730866909027,0.09806864708662033,0.000701528275385499,0.033336300402879715
8,80000,-0.1297643482685089,0.14417216181755066,-0.0016995442565530539,0.04514184221625328
9,90000,-0.10165484994649887,0.17271818220615387,0.003447150345891714,0.04287809878587723
10,100000,-0.11654750257730484,0.12818412482738495,0.0029507651925086975,0.029013659805059433
11,110000,-0.13066591322422028,0.1349204182624817,-0.001429279800504446,0.03860891982913017
12,120000,-0.23005074262619019,0.13077087700366974,-0.0016267991159111261,0.04978850111365318
13,130000,-0.17393207550048828,0.2503485381603241,-0.000844191643409431,0.06265328079462051
14,140000,-0.14704392850399017,0.20110946893692017,0.005221842788159847,0.03932255506515503
15,150000,-0.1467939168214798,0.15063248574733734,-0.0015433861408382654,0.034792739897966385
16,160000,-0.21652567386627197,0.16709473729133606,0.006212243344634771,0.05616527050733566
17,170000,-0.19510620832443237,0.26664942502975464,0.0017562813591212034,0.06745313107967377
18,180000,-0.17018209397792816,0.23364081978797913,0.003472767537459731,0.05123811960220337
19,190000,-0.2384323626756668,0.15901298820972443,-0.0004720846191048622,0.0566156841814518
20,200000,-0.20601053535938263,0.1694210171699524,-0.007849284447729588,0.04492327570915222
21,210000,-0.34704679250717163,0.40565744042396545,0.0026753274723887444,0.10739675909280777
22,220000,-0.159051775932312,0.25882261991500854,0.0014119241386651993,0.05735296010971069
23,230000,-0.2710966467857361,0.31772807240486145,-0.004073877353221178,0.0973547101020813
24,240000,-0.18635877966880798,0.25098562240600586,-0.002013356890529394,0.07388535887002945
25,250000,-0.21461166441440582,0.2595076560974121,0.0027846521697938442,0.056548696011304855
26,260000,-0.17153500020503998,0.2130029946565628,0.00479103485122323,0.055245645344257355
27,270000,-0.2533191740512848,0.19368451833724976,0.0030221776105463505,0.06366923451423645
28,280000,-0.22326406836509705,0.27365842461586,-0.002970907837152481,0.0780574232339859
29,290000,-0.5824170708656311,0.500605046749115,0.0009734650375321507,0.09948000311851501
30,300000,-0.2706460952758789,0.24523867666721344,-0.002915153047069907,0.052549928426742554
31,310000,-0.21075280010700226,0.25265511870384216,0.00020659074652940035,0.051060840487480164
32,320000,-0.24361371994018555,0.20518717169761658,0.0011388391721993685,0.06200294569134712
33,330000,-0.25218671560287476,0.2605416774749756,-0.0022302863653749228,0.06730828434228897
34,340000,-0.26976001262664795,0.282244473695755,0.0005435021594166756,0.055904366075992584
35,350000,-0.3816666603088379,0.2867555022239685,0.004246611148118973,0.1014861911535263
36,360000,-0.5171018242835999,0.41290852427482605,0.002918045036494732,0.10153116285800934
37,370000,-0.327298641204834,0.2861211895942688,-0.003667030483484268,0.07281218469142914
38,380000,-0.33474200963974,0.3902702033519745,-0.006668244954198599,0.09813718497753143
39,390000,-0.5309308767318726,0.4840000867843628,0.0006187031976878643,0.11824098229408264
40,400000,-0.3327755630016327,0.5563899278640747,0.0020401873625814915,0.07878854870796204
41,410000,-0.28844374418258667,0.22066237032413483,-0.0003614639863371849,0.07195516675710678
42,420000,-0.3734898567199707,0.17292343080043793,-0.006073900498449802,0.06671056896448135
43,430000,-0.40094131231307983,0.3379991948604584,-0.007371670566499233,0.11217515915632248
44,440000,-0.21783047914505005,0.40875524282455444,0.0012826700694859028,0.07497039437294006
45,450000,-0.6362350583076477,0.447480708360672,0.01137632317841053,0.14405572414398193
46,460000,-0.3880741000175476,0.28112465143203735,0.0032581014093011618,0.0932992622256279
47,470000,-0.27748721837997437,0.37590521574020386,-0.0021157171577215195,0.08967157453298569
48,480000,-0.4700656533241272,0.503632664680481,-0.012041240930557251,0.17585493624210358
49,490000,-0.40337011218070984,0.43955856561660767,-0.0067287334240973,0.09643277525901794
50,500000,-0.2095300555229187,0.26422029733657837,0.00012122234329581261,0.05640542879700661
51,510000,-0.4093981981277466,0.36135777831077576,0.0062895528972148895,0.08791623264551163
52,520000,-0.354182630777359,0.46524691581726074,-0.004193460568785667,0.11181661486625671
53,530000,-0.38732069730758667,0.4542418420314789,-0.009681101888418198,0.11109799891710281
54,540000,-0.31538844108581543,0.28260281682014465,-0.009920992888510227,0.08610057830810547
55,550000,-0.47257283329963684,0.21470564603805542,-0.009051823057234287,0.08977905660867691
56,560000,-0.3867650032043457,0.6028725504875183,0.006563923321664333,0.12028316408395767
57,570000,-0.4298376441001892,0.4325619041919708,0.003998992964625359,0.09419504553079605
58,580000,-0.4075247645378113,0.30874887108802795,-0.002916075987741351,0.0846538320183754
59,590000,-0.3001740276813507,0.6368072032928467,-0.005921431817114353,0.09081388264894485
60,600000,-0.32547426223754883,0.2342211902141571,-0.004642165265977383,0.06938545405864716
61,610000,-0.47984230518341064,0.5394045114517212,0.006752067245543003,0.15159596502780914
62,620000,-0.4272182583808899,0.46731677651405334,-0.008588714525103569,0.14933671057224274
63,630000,-0.38314709067344666,0.36535075306892395,0.00025174656184390187,0.09124952554702759
64,640000,-0.3001979887485504,0.30764633417129517,0.005859392695128918,0.09454583376646042
65,650000,-0.46433183550834656,0.5250799059867859,0.005530985072255135,0.14521513879299164
66,660000,-0.2889813482761383,0.3037042021751404,-0.00976780615746975,0.09454412013292313
