1,10000,4.194752118849754
2,20000,4.0918409770011905
3,30000,4.057429605770111
4,40000,4.038624168968201
5,50000,4.020360781550408
6,60000,4.00671721625328
7,70000,3.9905437759399414
8,80000,3.979029237174988
9,90000,3.9547698118925094
10,100000,3.9454660819768907
11,110000,3.936982638835907
12,120000,3.919215499663353
13,130000,3.9087841208219527
14,140000,3.897817205429077
15,150000,3.8829434357643127
16,160000,3.8763895940065383
17,170000,3.8663567545175552
18,180000,3.852864487671852
19,190000,3.8497006311178206
20,200000,3.8308659356355665
21,210000,3.816070575094223
22,220000,3.8111734866142273
23,230000,3.803993240380287
24,240000,3.7883983732938766
25,250000,3.775462393260002
26,260000,3.7719155090093612
27,270000,3.7601986572265624
28,280000,3.758381755542755
29,290000,3.7457583592653276
30,300000,3.7361103306531906
31,310000,3.7200316528081894
32,320000,3.705660828304291
33,330000,3.6947689079523087
34,340000,3.688956634569168
35,350000,3.6809050634145737
36,360000,3.6681851363658904
37,370000,3.653743276357651
38,380000,3.650406568169594
39,390000,3.6427423167943953
40,400000,3.6411842912435533
41,410000,3.6260075108766556
42,420000,3.619834167408943
43,430000,3.6135809498310087
44,440000,3.605186752200127
45,450000,3.594455102944374
46,460000,3.58248879506588
47,470000,3.5795546419382096
48,480000,3.567884383559227
49,490000,3.566551929473877
50,500000,3.554382400393486
51,510000,3.5490464145183562
52,520000,3.547466288614273
53,530000,3.539937609410286
54,540000,3.5323207154989245
55,550000,3.5168174829006196
56,560000,3.507709028887749
57,570000,3.5102243577957153
58,580000,3.509047063803673
59,590000,3.496062508869171
60,600000,3.482073061132431
61,610000,3.4829577003240586
62,620000,3.478644053888321
63,630000,3.465368786716461
64,640000,3.4575895345687866
65,650000,3.4561695279836653
66,660000,3.4440573615789414
67,670000,3.445803996920586
68,680000,3.433415981340408
69,690000,3.4360205156564714
70,700000,3.422026180291176
71,710000,3.415546379160881
72,720000,3.4116064633369447
73,730000,3.402405127453804
74,740000,3.3960843362092974
75,750000,3.3973854929208755
76,760000,3.3896395948410034
77,770000,3.377642859220505
78,780000,3.374237406373024
79,790000,3.366684593653679
80,800000,3.37728097512722
81,810000,3.371532336258888
82,820000,3.353656704330444
83,830000,3.3522304620623586
84,840000,3.3441875192403794
85,850000,3.3403753607749938
86,860000,3.3361754764556886
87,870000,3.3222171310424806
88,880000,3.3276169799804687
89,890000,3.3177201876163482
90,900000,3.3120906913876533
91,910000,3.309788018870354
92,920000,3.296989653992653
93,930000,3.2976669466972353
94,940000,3.2962177785158158
95,950000,3.2879681966781615
96,960000,3.279336610031128
97,970000,3.2762658200740815
98,980000,3.279869386792183
99,990000,3.2612245138525964
100,1000000,3.267687920880318
