epoch,step,min,max,mean,std
1,10000,-0.39464518427848816,0.7026371359825134,-0.011204548180103302,0.4419553875923157
2,20000,-0.8535363674163818,0.7959039807319641,0.03652296960353851,0.5904821753501892
3,30000,-0.6615090370178223,0.6682054400444031,-0.06294488906860352,0.4845231771469116
4,40000,-0.3744548559188843,0.49570128321647644,0.019792459905147552,0.3179064393043518
5,50000,-0.14378976821899414,0.31452274322509766,-0.0012519266456365585,0.1840968281030655
6,60000,-0.24885159730911255,0.412523090839386,0.004535563290119171,0.2528474032878876
7,70000,-0.39691123366355896,0.518850564956665,0.007738254964351654,0.3299250304698944
8,80000,-0.5622881650924683,0.4859272539615631,-0.03735900670289993,0.3716760575771332
9,90000,-0.6006149649620056,0.31102675199508667,-0.02845941111445427,0.3478844165802002
10,100000,-0.15272167325019836,0.12315841019153595,0.01631154492497444,0.10556992888450623
11,110000,-0.40322792530059814,0.3075319826602936,0.01578441821038723,0.26451295614242554
12,120000,-0.23662099242210388,0.4307016134262085,0.0005031712353229523,0.26513147354125977
13,130000,-0.4731777608394623,0.6608216166496277,0.03598978370428085,0.4054587483406067
14,140000,-0.1632925122976303,0.1525619924068451,0.003291528671979904,0.11201625317335129
15,150000,-0.1971554160118103,0.19806286692619324,-0.008835234679281712,0.140879824757576
16,160000,-0.47755852341651917,0.3657783567905426,-0.07641107589006424,0.30725589394569397
17,170000,-0.7461327314376831,0.37006181478500366,-0.017306819558143616,0.4425736665725708
18,180000,-0.0777047872543335,0.06623914837837219,-0.000972215086221695,0.05129502713680267
19,190000,-0.4306640625,0.3306281268596649,-0.005929154343903065,0.2729209363460541
20,200000,-0.14999952912330627,0.22904354333877563,0.012823721393942833,0.13723744451999664
21,210000,-0.9777047038078308,0.5845464468002319,-0.025661051273345947,0.5842223167419434
22,220000,-0.2728484869003296,0.32104992866516113,0.0015496015548706055,0.2129981368780136
23,230000,-0.8130235075950623,0.462515264749527,0.025933459401130676,0.5189579725265503
24,240000,-0.6184791922569275,0.41315269470214844,0.035027921199798584,0.4077339470386505
25,250000,-0.2549055516719818,0.12046615034341812,-0.04300297796726227,0.13609732687473297
26,260000,-0.25895965099334717,0.18514540791511536,-0.021381549537181854,0.1578867882490158
27,270000,-0.2679123282432556,0.21487504243850708,0.017406916245818138,0.17863993346691132
28,280000,-0.5703131556510925,0.39202848076820374,0.01332080364227295,0.3639771342277527
29,290000,-0.48911231756210327,0.387933611869812,-0.024154536426067352,0.31120753288269043
30,300000,-0.20304012298583984,0.10383342206478119,-0.02427947148680687,0.11141703277826309
31,310000,-0.18116207420825958,0.22511756420135498,0.028472529724240303,0.14399410784244537
32,320000,-0.13608895242214203,0.17551450431346893,0.01606776937842369,0.11022914946079254
33,330000,-0.3555397093296051,0.2411128133535385,-0.0041390471160411835,0.2194957584142685
34,340000,-0.06905622780323029,0.23531603813171387,0.04387049004435539,0.11455604434013367
35,350000,-0.5898389220237732,0.5213361382484436,0.007702365517616272,0.3965073227882385
36,360000,-0.2798442840576172,0.3033178150653839,-0.029221832752227783,0.21709978580474854
37,370000,-0.2711477279663086,0.27976861596107483,0.001149594783782959,0.19481973350048065
38,380000,-0.3692340850830078,0.48808103799819946,0.004885749891400337,0.30999454855918884
39,390000,-0.508230447769165,0.3300483822822571,0.0024628043174743652,0.3170265853404999
